Season,Tm,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2020-21,IND,43.3,91.2,0.474,12.3,34,0.364,16.4,20.7,0.792,9,33.7,42.7,27.4,8.5,6.4,13.5,20.2,115.3
2020-21,CHI,42.2,88.6,0.476,12.6,34,0.37,13.8,17.5,0.791,9.6,35.3,45,26.8,6.7,4.2,15.1,18.9,110.7
2020-21,DET,38.7,85.6,0.452,11.6,32.9,0.351,17.8,23.4,0.759,9.6,33.1,42.7,24.2,7.4,5.2,14.9,20.5,106.6
2020-21,MIA,39.2,83.7,0.468,12.9,36.2,0.358,16.7,21.1,0.79,8,33.5,41.5,26.3,7.9,4,14.1,18.9,108.1
2020-21,ATL,40.8,87.2,0.468,12.4,33.4,0.373,19.7,24.2,0.812,10.6,35.1,45.6,24.1,7,4.8,13.2,19.3,113.7
2020-21,ORL,38.3,89.2,0.429,10.9,31.8,0.343,16.6,21.4,0.775,10.4,35.1,45.4,21.8,6.9,4.4,12.8,17.2,104
2020-21,CHO,39.9,87.8,0.455,13.7,37,0.369,15.9,20.9,0.761,10.6,33.2,43.8,26.8,7.8,4.8,14.8,18,109.5
2020-21,WAS,43.2,90.9,0.475,10.2,29,0.351,20.1,26.2,0.769,9.7,35.5,45.2,25.5,7.3,4.1,14.4,21.6,116.6
2021-22,SAC,40.5,88.1,0.46,11.4,33.2,0.344,17.9,23.3,0.768,9.6,33.4,42.9,23.7,7.2,4.5,14.1,18.9,110.3
2021-22,LAL,41.6,88.8,0.469,12,34.5,0.347,16.8,23,0.732,9.5,34.5,44,24,7.6,5.2,14.5,20.2,112.1
2021-22,LAC,40.1,87.4,0.458,12.8,34.2,0.374,15.5,19.6,0.793,9.1,34.9,44,24,7.4,5,13.7,18.6,108.4
2021-22,DAL,39.3,85.1,0.461,13.1,37.4,0.35,16.4,21.2,0.771,9.3,33.8,43,23.4,6.7,4,12.5,19.7,108
2021-22,OKC,38.3,89.1,0.43,12.1,37.4,0.323,15,19.9,0.756,10.4,35.2,45.6,22.2,7.6,4.6,14,18.3,103.7
2021-22,POR,38.5,87.1,0.442,12.7,36.8,0.346,16.4,21.6,0.76,10.4,32.5,42.9,22.9,8,4.5,14.5,21.1,106.2
2021-22,GSW,40.5,86.4,0.469,14.3,39.4,0.364,15.6,20.3,0.769,9.8,35.7,45.5,27.1,8.8,4.5,14.9,21,111
2021-22,PHO,43.7,90.1,0.485,11.6,31.9,0.364,15.9,19.9,0.797,9.8,35.5,45.3,27.4,8.6,4.4,12.9,19.9,114.8
2021-22,MIN,41.6,91,0.457,14.8,41.3,0.358,18,23.1,0.778,11.2,32.9,44.2,25.7,8.8,5.6,14.3,21.8,115.9
2021-22,NOP,40.2,88,0.457,10.6,32.1,0.332,18.3,23.2,0.789,12,33.2,45.2,25,8.3,4,14.1,19.7,109.3
2021-22,UTA,40.6,86.2,0.471,14.5,40.3,0.36,17.9,23.4,0.767,10.8,35.6,46.3,22.4,7.2,4.9,14,18.9,113.6
2021-22,DEN,41.7,86.3,0.483,12.7,35.9,0.353,16.7,21,0.795,9.2,34.9,44.1,27.8,7.2,3.7,14.5,20,112.7
2021-22,MEM,43.5,94.4,0.461,11.5,32.7,0.353,17,23.1,0.734,14.1,35,49.2,26,9.8,6.5,13.2,19.8,115.6
2021-22,SAS,43.2,92.7,0.467,11.3,32,0.352,15.4,20.4,0.754,11,34.3,45.3,27.9,7.6,4.9,12.7,18.1,113.2
